2016-11-15 19:00:00;Toronto Raptors;117;Cleveland Cavaliers;121
2016-11-15 22:30:00;Brooklyn Nets;118;Los Angeles Lakers;125
2016-11-15 19:30:00;Atlanta Hawks;93;Miami Heat;90
2016-11-15 20:00:00;Charlotte Hornets;115;Minnesota Timberwolves;108
2016-11-15 22:00:00;Chicago Bulls;113;Portland Trail Blazers;88
2016-11-16 19:30:00;Milwaukee Bucks;100;Atlanta Hawks;107
2016-11-16 19:30:00;Dallas Mavericks;83;Boston Celtics;90
2016-11-16 21:00:00;Phoenix Suns;104;Denver Nuggets;120
2016-11-16 19:00:00;Cleveland Cavaliers;93;Indiana Pacers;103
2016-11-16 22:30:00;Memphis Grizzlies;111;Los Angeles Clippers;107
2016-11-16 19:30:00;Detroit Pistons;102;New York Knicks;105
2016-11-16 20:00:00;Houston Rockets;103;Oklahoma City Thunder;105
2016-11-16 19:00:00;New Orleans Pelicans;82;Orlando Magic;89
2016-11-16 19:00:00;Washington Wizards;102;Philadelphia 76ers;109
2016-11-16 22:30:00;San Antonio Spurs;110;Sacramento Kings;105
2016-11-16 20:00:00;Golden State Warriors;127;Toronto Raptors;121
2016-11-17 20:00:00;Portland Trail Blazers;109;Houston Rockets;126
2016-11-17 19:30:00;Milwaukee Bucks;73;Miami Heat;96
2016-11-17 20:00:00;Philadelphia 76ers;86;Minnesota Timberwolves;110
2016-11-17 22:30:00;Chicago Bulls;85;Utah Jazz;77
2016-11-17 19:00:00;New York Knicks;112;Washington Wizards;119
2016-11-18 20:00:00;Golden State Warriors;104;Boston Celtics;88
2016-11-18 19:00:00;Atlanta Hawks;96;Charlotte Hornets;100
2016-11-18 19:30:00;Detroit Pistons;81;Cleveland Cavaliers;104
2016-11-18 20:30:00;Memphis Grizzlies;80;Dallas Mavericks;64
2016-11-18 21:00:00;Toronto Raptors;113;Denver Nuggets;111
2016-11-18 19:00:00;Phoenix Suns;116;Indiana Pacers;96
2016-11-18 22:30:00;San Antonio Spurs;116;Los Angeles Lakers;107
2016-11-18 20:00:00;Portland Trail Blazers;101;New Orleans Pelicans;113
2016-11-18 20:00:00;Brooklyn Nets;105;Oklahoma City Thunder;124
2016-11-18 22:30:00;Los Angeles Clippers;121;Sacramento Kings;115
2016-11-19 19:00:00;Boston Celtics;94;Detroit Pistons;92
2016-11-19 17:00:00;Utah Jazz;102;Houston Rockets;111
2016-11-19 22:30:00;Chicago Bulls;95;Los Angeles Clippers;102
2016-11-19 20:00:00;Minnesota Timberwolves;71;Memphis Grizzlies;93
2016-11-19 20:30:00;Golden State Warriors;124;Milwaukee Bucks;121
2016-11-19 19:00:00;Charlotte Hornets;116;New Orleans Pelicans;121
2016-11-19 19:00:00;Dallas Mavericks;87;Orlando Magic;95
2016-11-19 19:30:00;Phoenix Suns;105;Philadelphia 76ers;120
2016-11-19 19:00:00;Miami Heat;114;Washington Wizards;111
2016-11-20 15:30:00;Portland Trail Blazers;129;Brooklyn Nets;109
2016-11-20 21:00:00;Utah Jazz;91;Denver Nuggets;105
2016-11-20 21:30:00;Chicago Bulls;118;Los Angeles Lakers;110
2016-11-20 12:00:00;Atlanta Hawks;94;New York Knicks;104
2016-11-20 19:00:00;Indiana Pacers;115;Oklahoma City Thunder;111
2016-11-20 21:00:00;Toronto Raptors;99;Sacramento Kings;102
2016-11-21 19:00:00;Memphis Grizzlies;105;Charlotte Hornets;90
2016-11-21 19:30:00;Houston Rockets;99;Detroit Pistons;96
2016-11-21 19:00:00;Golden State Warriors;120;Indiana Pacers;83
2016-11-21 22:30:00;Toronto Raptors;115;Los Angeles Clippers;123
2016-11-21 20:00:00;Orlando Magic;89;Milwaukee Bucks;93
2016-11-21 20:00:00;Boston Celtics;99;Minnesota Timberwolves;93
2016-11-21 19:00:00;Miami Heat;94;Philadelphia 76ers;101
2016-11-21 20:30:00;Dallas Mavericks;91;San Antonio Spurs;96
2016-11-21 19:00:00;Phoenix Suns;101;Washington Wizards;106
2016-11-22 19:30:00;New Orleans Pelicans;112;Atlanta Hawks;94
2016-11-22 21:00:00;Chicago Bulls;107;Denver Nuggets;110
2016-11-22 22:30:00;Oklahoma City Thunder;109;Los Angeles Lakers;111
2016-11-22 19:30:00;Portland Trail Blazers;103;New York Knicks;107
2016-11-23 19:30:00;Boston Celtics;111;Brooklyn Nets;92
2016-11-23 19:00:00;San Antonio Spurs;119;Charlotte Hornets;114
2016-11-23 19:00:00;Portland Trail Blazers;125;Cleveland Cavaliers;137
2016-11-23 20:30:00;Los Angeles Clippers;124;Dallas Mavericks;104
2016-11-23 19:30:00;Miami Heat;84;Detroit Pistons;107
2016-11-23 22:30:00;Los Angeles Lakers;106;Golden State Warriors;149
2016-11-23 20:00:00;Toronto Raptors;115;Houston Rockets;102
2016-11-23 19:00:00;Atlanta Hawks;96;Indiana Pacers;85
2016-11-23 21:30:00;Minnesota Timberwolves;96;New Orleans Pelicans;117
2016-11-23 19:00:00;Phoenix Suns;92;Orlando Magic;87
2016-11-23 19:00:00;Memphis Grizzlies;104;Philadelphia 76ers;99
2016-11-23 22:30:00;Oklahoma City Thunder;101;Sacramento Kings;116
2016-11-23 21:00:00;Denver Nuggets;83;Utah Jazz;108
2016-11-25 13:00:00;San Antonio Spurs;109;Boston Celtics;103
2016-11-25 19:30:00;Dallas Mavericks;90;Cleveland Cavaliers;128
2016-11-25 21:00:00;Oklahoma City Thunder;132;Denver Nuggets;129
2016-11-25 19:30:00;Los Angeles Clippers;97;Detroit Pistons;108
2016-11-25 20:00:00;Brooklyn Nets;97;Indiana Pacers;118
2016-11-25 22:30:00;Golden State Warriors;109;Los Angeles Lakers;85
2016-11-25 20:00:00;Miami Heat;90;Memphis Grizzlies;81
2016-11-25 20:00:00;Toronto Raptors;105;Milwaukee Bucks;99
2016-11-25 19:30:00;Charlotte Hornets;111;New York Knicks;113
2016-11-25 19:00:00;Washington Wizards;94;Orlando Magic;91
2016-11-25 19:30:00;Chicago Bulls;105;Philadelphia 76ers;89
2016-11-25 21:00:00;Minnesota Timberwolves;98;Phoenix Suns;85
2016-11-25 22:00:00;New Orleans Pelicans;104;Portland Trail Blazers;119
2016-11-25 22:30:00;Houston Rockets;117;Sacramento Kings;104
2016-11-25 20:00:00;Atlanta Hawks;68;Utah Jazz;95
2016-11-26 19:00:00;New York Knicks;102;Charlotte Hornets;107
2016-11-26 22:30:00;Minnesota Timberwolves;102;Golden State Warriors;115
2016-11-26 20:00:00;Memphis Grizzlies;110;Miami Heat;107
2016-11-26 20:00:00;Detroit Pistons;88;Oklahoma City Thunder;106
2016-11-26 19:00:00;San Antonio Spurs;112;Washington Wizards;100
2016-11-27 18:00:00;Sacramento Kings;122;Brooklyn Nets;105
2016-11-27 19:00:00;New Orleans Pelicans;81;Dallas Mavericks;91
2016-11-27 18:00:00;Los Angeles Clippers;70;Indiana Pacers;91
2016-11-27 21:30:00;Atlanta Hawks;94;Los Angeles Lakers;109
2016-11-27 18:00:00;Milwaukee Bucks;104;Orlando Magic;96
2016-11-27 13:00:00;Cleveland Cavaliers;112;Philadelphia 76ers;108
2016-11-27 15:30:00;Denver Nuggets;120;Phoenix Suns;114
2016-11-27 21:00:00;Houston Rockets;130;Portland Trail Blazers;114
2016-11-28 22:30:00;Atlanta Hawks;100;Golden State Warriors;105
2016-11-28 20:00:00;Charlotte Hornets;104;Memphis Grizzlies;85
2016-11-28 19:30:00;Boston Celtics;112;Miami Heat;104
2016-11-28 20:00:00;Utah Jazz;112;Minnesota Timberwolves;103
2016-11-28 19:30:00;Oklahoma City Thunder;112;New York Knicks;103
